日期,时间,脑电连接信号是否正常,专注度,放松,Delta,Theta,Alpha1,Alpha2,Beta1,Beta2,Gamma1,Gamma2
06/02/2024,17:15:58,0,54,48,1978755,209391,104437,35495,8393,24986,75029,12992
06/02/2024,17:15:59,0,56,47,446381,114260,16781,20386,17474,45444,43015,12361
06/02/2024,17:16:00,0,60,43,860075,97354,33756,8274,37096,69634,9413,7733
06/02/2024,17:16:01,0,70,44,69136,13557,3447,1540,866,2739,934,582
06/02/2024,17:16:02,0,83,44,33270,19282,18292,4236,8792,12488,6127,3819
06/02/2024,17:16:03,0,67,50,501746,111458,32378,12745,6703,6887,4759,1247
06/02/2024,17:16:04,0,61,47,87531,34717,6456,2548,14230,7840,7432,806
06/02/2024,17:16:05,0,61,60,585142,83644,71957,49991,10192,28811,10541,5314
06/02/2024,17:16:06,0,56,57,124005,10329,3138,3461,1260,2363,857,695
06/02/2024,17:16:07,0,53,56,1258078,112111,27678,14172,11265,4251,3881,1081
06/02/2024,17:16:08,0,44,75,328970,110609,112260,16540,9560,16100,5779,2044
06/02/2024,17:16:09,0,44,66,26872,17505,7152,2316,2606,4111,3759,2658
06/02/2024,17:16:10,0,44,75,31701,34835,43328,11287,9149,10533,7112,8494
06/02/2024,17:16:11,0,54,80,47764,53798,28732,13510,12089,11181,9089,4584
06/02/2024,17:16:12,0,66,77,20398,4769,4379,5698,4283,4509,1404,1157
06/02/2024,17:16:13,0,70,88,25325,11331,30272,16904,5306,19173,5983,2860
06/02/2024,17:16:14,0,67,81,10034,57421,22917,17975,13299,7695,4613,6061
06/02/2024,17:16:15,0,70,87,24138,28541,32468,9815,5371,13182,9572,5172
06/02/2024,17:16:16,0,69,84,32173,16286,19301,5444,14005,9007,4831,6152
06/02/2024,17:16:17,0,69,70,16676,10887,7256,5648,14529,9018,11070,2076
06/02/2024,17:16:18,0,78,78,136685,12939,9971,16836,7447,8430,5800,1988
06/02/2024,17:16:19,0,75,81,40956,22495,47049,5104,13442,7790,4133,1601
06/02/2024,17:16:20,0,78,78,309759,17249,17199,4986,13927,14020,5432,6877
06/02/2024,17:16:21,0,75,78,33308,8259,811,5040,2564,3526,1096,222
06/02/2024,17:16:22,0,78,67,40187,27670,4295,21313,20541,17586,8613,2873
06/02/2024,17:16:23,0,80,61,35707,38841,15979,19465,4057,11394,13313,1971
06/02/2024,17:16:24,0,70,64,233481,38490,8939,23060,11301,7543,3321,4234
06/02/2024,17:16:25,0,64,67,98034,55625,5612,34708,13849,10006,2982,3544
06/02/2024,17:16:26,0,67,69,21803,16201,13166,6838,12560,15915,3136,2954
06/02/2024,17:16:27,0,64,81,17253,23171,35675,37627,8745,8200,3769,1153
06/02/2024,17:16:28,0,61,67,1031081,94539,12964,11353,24567,7874,2715,1828
06/02/2024,17:16:29,0,54,83,51185,34060,98069,32390,18004,7924,4246,1716
06/02/2024,17:16:30,0,35,88,99963,60170,25403,55126,38635,4845,2855,1844
06/02/2024,17:16:31,0,26,87,14335,17735,38425,8920,11515,1799,1263,783
06/02/2024,17:16:32,0,24,100,100707,21915,163447,16476,24981,11615,3340,1957
06/02/2024,17:16:33,0,21,100,17988,39450,29850,75592,25062,5401,10723,653
06/02/2024,17:16:34,0,26,100,15244,16504,104588,13705,12109,9052,5032,1103
06/02/2024,17:16:35,0,30,100,307826,552727,63398,73571,59218,40491,19034,8807
06/02/2024,17:16:36,0,35,87,77507,87852,101041,2526,34367,16112,10698,3376
06/02/2024,17:16:37,0,41,80,11943,76113,61098,24731,18299,13160,4259,4574
06/02/2024,17:16:38,0,48,56,486383,38064,11777,13106,44117,9920,2322,3251
06/02/2024,17:16:39,0,53,74,84975,14055,17293,11968,5513,4999,3081,614
06/02/2024,17:16:40,0,44,74,55785,89295,49383,23354,10276,4622,1554,1606
06/02/2024,17:16:41,0,48,74,22939,12186,39584,13855,53675,8833,5770,1366
06/02/2024,17:16:42,0,56,70,321257,28141,11390,6140,28096,18515,4535,1373
06/02/2024,17:16:43,0,56,69,25463,6883,5057,11919,7233,2060,401,614
06/02/2024,17:16:44,0,66,64,104529,11656,1471,10399,14383,2602,1719,439
06/02/2024,17:16:45,0,60,63,62319,125012,79677,25771,25125,12735,3418,2707
06/02/2024,17:16:46,0,51,77,55094,34128,42354,13431,15888,13174,3128,1102
06/02/2024,17:16:47,0,40,78,61752,78404,59367,116042,39595,6144,2053,891
06/02/2024,17:16:48,0,35,91,129887,81910,117757,29814,8299,13480,5548,2950
06/02/2024,17:16:49,0,37,88,62551,77649,48694,18427,53206,10556,2967,1558
06/02/2024,17:16:50,0,35,81,4225,38494,22075,7846,21945,8174,1938,1697
06/02/2024,17:16:51,0,38,80,254593,46380,76161,20002,30565,5063,4030,2194
06/02/2024,17:16:52,0,38,81,17954,6504,18351,6771,6768,1944,1756,614
06/02/2024,17:16:53,0,37,93,54232,31100,59215,41189,16421,7176,4789,1202
06/02/2024,17:16:54,0,35,100,42938,39614,39008,29933,18384,9410,2413,946
06/02/2024,17:16:55,0,41,100,29664,70022,147927,16866,38148,20789,2446,1419
06/02/2024,17:16:56,0,41,93,38889,97207,51786,12560,10472,9968,1054,1048
