日期,时间,脑电连接信号是否正常,专注度,放松度,Delta,Theta,Alpha1,Alpha2,Beta1,Beta2,Gamma1,Gamma2
06/02/2024,18:40:39,0,61,87,80793,100604,24261,13689,19992,7373,4993,2526
06/02/2024,18:40:40,0,56,78,4506,12509,16971,4907,15563,14149,13124,9095
06/02/2024,18:40:41,0,56,64,18415,32313,10493,8803,20344,15895,25649,2224
06/02/2024,18:40:42,0,56,63,70102,48516,16458,15464,14782,6991,7041,4314
06/02/2024,18:40:43,0,75,66,323513,64147,30723,6379,17509,21416,17370,1815
06/02/2024,18:40:44,0,56,67,599211,214822,124186,31631,32533,38240,8135,7490
06/02/2024,18:40:45,0,34,64,364974,102785,17458,14212,21788,9058,2779,1836
06/02/2024,18:40:46,0,41,63,184203,17058,2352,5488,1479,3913,2614,372
06/02/2024,18:40:47,0,27,51,1370191,37965,2454,5895,5943,3362,2777,1823
06/02/2024,18:40:48,0,51,38,65176,8400,3291,4060,13234,9142,3539,2182
06/02/2024,18:40:49,0,64,34,53229,46741,4695,8510,8653,10435,4821,433
06/02/2024,18:40:50,0,56,37,64182,63758,15318,30867,29074,8431,5345,1480
06/02/2024,18:40:51,0,53,64,50225,14351,27807,54433,7196,5906,2243,1846
06/02/2024,18:40:52,0,23,51,794561,75363,7124,2882,2646,5738,1885,223
06/02/2024,18:40:53,0,10,70,126674,24923,42876,7991,6095,4706,2853,3150
06/02/2024,18:40:54,0,7,53,146152,231260,11509,39280,14945,18756,6672,5292
06/02/2024,18:40:55,0,10,38,497371,62100,29742,41829,11898,11096,5249,2007
06/02/2024,18:40:56,0,8,63,32262,8404,5203,6560,2502,1237,437,778
06/02/2024,18:40:57,0,21,53,6118,10554,3165,10080,4299,3805,1196,1099
06/02/2024,18:40:58,0,29,63,10681,55471,9254,21054,11264,10414,2763,1493
06/02/2024,18:40:59,0,50,43,7395,14271,2945,1231,7324,5728,2757,2612
06/02/2024,18:41:00,0,40,29,300321,58287,14177,6367,6234,1706,704,930
06/02/2024,18:41:01,0,41,24,12724,8222,4251,2609,5282,2286,2094,1515
06/02/2024,18:41:02,0,41,14,26896,46910,5108,6185,13733,6312,2860,3814
06/02/2024,18:41:03,0,29,34,70955,62599,25077,38839,8218,14821,2246,2541
06/02/2024,18:41:04,0,51,29,147069,84789,8270,14726,6770,13108,3478,1257
06/02/2024,18:41:05,0,56,29,2667,22234,5755,11015,9988,9110,5670,2189
06/02/2024,18:41:06,0,54,38,11729,21508,5304,6833,6118,3247,1739,876
06/02/2024,18:41:07,0,53,29,130265,58323,4048,30387,36276,10075,4165,2293
06/02/2024,18:41:08,0,50,35,235875,47215,39332,20651,97834,9928,6487,3233
06/02/2024,18:41:09,0,40,48,506489,8622,10234,4158,1077,2399,1141,575
06/02/2024,18:41:10,0,29,66,54101,10230,13672,54153,27375,3169,3970,1946
06/02/2024,18:41:11,0,24,75,1226650,116870,25870,80254,16023,15419,4115,2405
06/02/2024,18:41:12,0,8,97,63071,26832,45922,156803,28557,6077,3246,3278
06/02/2024,18:41:13,0,1,100,63323,6585,25658,234921,12664,7123,7784,2655
06/02/2024,18:41:14,0,1,96,36423,22516,13883,46936,15864,5624,10368,12020
06/02/2024,18:41:15,0,1,100,49391,8963,38637,82723,1906,8722,3446,2714
06/02/2024,18:41:16,0,11,96,57448,23365,44735,51289,6614,11357,4440,2791
06/02/2024,18:41:17,0,23,78,12915,8303,3034,13617,3963,1528,1791,920
06/02/2024,18:41:18,0,24,77,60794,24579,13075,20927,6485,4351,2068,1191
06/02/2024,18:41:19,0,21,47,380364,199571,18079,28561,6622,13618,2307,2882
06/02/2024,18:41:20,0,4,43,62471,59475,4443,87317,6125,3933,8613,2952
06/02/2024,18:41:21,0,7,41,59215,43740,33516,30083,7716,6685,2698,1088
06/02/2024,18:41:22,0,1,57,369929,20834,68237,150224,8151,2194,2524,1675
